Language,Measurement,Feedback_N,Affirmation_N,Feedback_Mean,Affirmation_Mean,Difference,Test,p_value,Significant,Cohens_d,Effect_Size
DGS_2.0_2412,length (seconds),627,91,1.605288898511802,1.2754852348267283,0.32980366368507363,Mann-Whitney U test (non-parametric),0.031683653314915766,YES,0.36092292249145447,small
DGS_2.0_2412,extremes amplitude,634,90,0.07190126716136912,0.08301520794857588,-0.01111394078720676,Mann-Whitney U test (non-parametric),0.09462211425923343,NO,-0.192505146587097,negligible
DGS_2.0_2412,velocity,630,88,0.2989070244697741,0.44010073195908017,-0.1411937074893061,Mann-Whitney U test (non-parametric),2.6176510547761076e-09,YES,-0.7729686470413987,medium
GER_2412,length (seconds),685,45,1.300285613131321,1.3203795427616267,-0.020093929630305762,Mann-Whitney U test (non-parametric),0.536649186790688,NO,-0.028196108378508552,negligible
GER_2412,extremes amplitude,688,45,0.03794188758467571,0.08199166478723816,-0.044049777202562444,Mann-Whitney U test (non-parametric),6.469215708073718e-11,YES,-1.1140317281376877,large
GER_2412,velocity,694,46,0.35075656184888526,0.6757554062305087,-0.3249988443816234,Mann-Whitney U test (non-parametric),5.5871474456663715e-12,YES,-1.1930922261441514,large
RSL_2507,length (seconds),1392,37,1.8620578599857123,1.806701564834784,0.055356295150928325,Mann-Whitney U test (non-parametric),0.9128855417599296,NO,0.04344565314161682,negligible
RSL_2507,extremes amplitude,1422,39,0.07413262677587096,0.0951501310329752,-0.021017504257104247,Mann-Whitney U test (non-parametric),0.035971172727956545,YES,-0.3280517544488784,small
RSL_2507,velocity,1400,34,0.45786433494080986,0.528425131816344,-0.07056079687553413,Mann-Whitney U test (non-parametric),0.026849522412173088,YES,-0.3155902147247247,small
RUS_2503,length (seconds),409,27,1.3953359697003376,1.1770551087661743,0.21828086093416332,Mann-Whitney U test (non-parametric),0.30264131216133194,NO,0.2776667749178968,small
RUS_2503,extremes amplitude,419,29,0.03287929318342594,0.04906234833366542,-0.016183055150239482,Mann-Whitney U test (non-parametric),0.12333888687156438,NO,-0.49533474847705766,small
RUS_2503,velocity,422,27,0.28225901453018437,0.3292661075292204,-0.04700709299903605,Mann-Whitney U test (non-parametric),0.47259676734066924,NO,-0.25863475865804053,small
